sourcePostId,title,proposedCollection,severity,message
1752,Söyledikleri ve Söylemedikleriyle TÜİK CİK İstatistikleri - 5,yazilar,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
1759,Söyledikleri ve Söylemedikleriyle TÜİK CİK İstatistikleri - 4,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=1759, https://mustafaeren.net/wp-content/uploads/2022/01/Bianet-2021-11-25-1.png)"
1766,Söyledikleri ve Söylemedikleriyle TÜİK CİK İstatistikleri - 3,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=1766, https://mustafaeren.net/wp-content/uploads/2022/01/Bianet-2021-11-24.png)"
1784,What The Turkstat Crime Statistics Don't Tell,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=1784, https://mustafaeren.net/wp-content/uploads/2022/01/Bianet-2021-11-23-1.png)"
1791,"TÜİK verileri, Avrupa Komisyonu'nun Space Raporu'na karşı - Cengiz Aktar / Açık Radyo",basinda,warning,"Gövdede birden fazla farklı mecra domaini var (post_id=1791): acik-radyo, bianet — etiket eşleşmesine geçildi"
1791,"TÜİK verileri, Avrupa Komisyonu'nun Space Raporu'na karşı - Cengiz Aktar / Açık Radyo",basinda,warning,"Öne çıkan görselin alt metni boş (post_id=1791, https://mustafaeren.net/wp-content/uploads/2022/01/Acik-Radyo-2021-11-24.png)"
1791,"TÜİK verileri, Avrupa Komisyonu'nun Space Raporu'na karşı - Cengiz Aktar / Açık Radyo",basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
1807,“Cezaevinde Kadın Olmak” kitabı ve kadın mahpuslar üzerine,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=1807, https://mustafaeren.net/wp-content/uploads/2022/01/Bianet-2022-01-15.png)"
1807,“Cezaevinde Kadın Olmak” kitabı ve kadın mahpuslar üzerine,yazilar,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
1969,Im Porträt: Der Soziologe Mustafa Eren,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=1969, https://mustafaeren.net/wp-content/uploads/2022/05/Perspektive-Studium-April-2022.png)"
2171,Mahkum Çalışanların Sosyal Hak Hayali,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=2171, https://mustafaeren.net/wp-content/uploads/2022/09/Agos-20220622.png)"
2195,Yeni Tip Hapishaneler ve Toplumsal Muhalefete Gözdağı,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=2195, https://mustafaeren.net/wp-content/uploads/2022/10/Mustafa-Eren-Bianet-20221001.png)"
